Vehicle Name,URL,Wheel Base,Ground Clearance,Overall Width,Overall Height,Overall Length
TATA Intra V30,https://trucksfloor.com/en/tata-truck/intra-v30,2450 mm,170 mm,1692 mm,1945 mm,4460 mm
Tata 1109g LPT,https://trucksfloor.com/en/tata-truck/1109g-lpt,3920 / 4930 mm,217 mm,2260 mm,2090 mm,5540 mm
Tata Intra V 30 Gold,https://trucksfloor.com/en/tata-truck/v-30-gold,2450 mm,175 mm,1692 mm,1945 mm,4460 mm
TATA Ace CNG 2.0,https://trucksfloor.com/en/tata-truck/ace-cng-20,2250 mm,160 mm,1500 mm,1840 mm,4075 mm
Tata Ace EV,https://trucksfloor.com/en/tata-truck/ace-ev,2100 mm,160 mm,1500 mm,2635 / 1840 mm,3800 mm
Tata Ace HT+,https://trucksfloor.com/en/tata-truck/ace-ht-plus,2250 mm,160 mm,1500 mm,1858 mm,4075 mm
Tata Ace Gold,https://trucksfloor.com/en/tata-truck/ace-gold,2250 / 2100 mm,160 mm,1500 mm,1850 / 1840 / 1845 mm,4075 mm
TATA Ace Diesel,https://trucksfloor.com/en/tata-truck/ace-diesel,2100 mm,160 mm,1500 mm,1840 mm,3800 mm
TATA Intra V10,https://trucksfloor.com/en/tata-truck/intra-v10,2250 mm,175 mm,1639 mm,1921 mm,4282 mm
TATA Intra V20 GOLD,https://trucksfloor.com/en/tata-truck/intra-v20-gold,2450 mm,175 mm,1620 mm,1921 mm,4460 mm
TATA Intra V50,https://trucksfloor.com/en/tata-truck/intra-v50,2600 mm,193 mm,1694 mm,2013 mm,4734 mm
TATA Intra V70,https://trucksfloor.com/en/tata-truck/intra-v70,2600 mm,160 mm,1750 mm,2013 mm,4734 mm
TATA Intra V20,https://trucksfloor.com/en/tata-truck/intra-v20,2450 mm,175 mm,1692 mm,1921 mm,4460 mm
TATA Intra V50 LNT,https://trucksfloor.com/en/tata-truck/intra-v50-lnt,2600 mm,193 mm,1620 mm,2013 mm,4734 mm
Tata 710 Gold LPT,https://trucksfloor.com/en/tata-truck/710-gold-lpt,2950 mm,216 mm,2105 mm,1815 mm,3160 mm
TATA Yodha Single Cab,https://trucksfloor.com/en/tata-truck/yodha-single-cab,3150 mm,210 mm,1860 mm,1810 mm,5350 mm
TATA Yodha Crew Cab,https://trucksfloor.com/en/tata-truck/yodha-crew-cab,3150 mm,210 mm,1860 mm,1810 mm,5350 mm
Tata LPK 1212,https://trucksfloor.com/en/tata-truck/lpk-1212,3000 mm,245 mm,2252 mm,930 mm,3370 mm
Tata 1012 LPT,https://trucksfloor.com/en/tata-truck/1012-lpt,3550 / 4920 mm,214 mm,2260 mm,2090 mm,4550 mm
Tata 712 LPT,https://trucksfloor.com/en/tata-truck/712-lpt,3550 / 3920 mm,220 mm,2155 / 2255 mm,2465 / 2920 / 2475 mm,6385 mm
Tata 912 LPT,https://trucksfloor.com/en/tata-truck/912-lpt,3400 / 3800 mm,194 mm,2117 mm,1835 mm,4550 mm
Tata 710 LPT,https://trucksfloor.com/en/tata-truck/710-lpt,3550 / 3920 mm,220 mm,2117 mm,1825 / 1820 mm,4550 mm
Tata 1616 LPT,https://trucksfloor.com/en/tata-truck/1616-lpt,4530 / 5300 mm,225 mm,2440 mm,2700 mm,8275 mm
Tata 1212 LPT,https://trucksfloor.com/en/tata-truck/1212-lpt,3600 / 4830 mm,225 mm,2175 mm,1835 mm,5385 mm
Tata 1216 LPT,https://trucksfloor.com/en/tata-truck/1216-lpt,3920 / 5300 mm,225 mm,2425 mm,2700 / 3200 mm,7305 mm
Tata 1412g LPT,https://trucksfloor.com/en/tata-truck/1412g-lpt,4200 / 4830 mm,225 mm,2175 mm,1830 / 1825 mm,6300 mm
Tata 1112 LPT,https://trucksfloor.com/en/tata-truck/1112-lpt,3550 / 4920 mm,214 mm,2260 mm,2090 mm,4550 mm
Tata 1416 LPT,https://trucksfloor.com/en/tata-truck/1416-lpt,3920 / 5300 mm,225 mm,2380 / 2425 mm,2700 / 3200 mm,7325 mm
Tata 510 TT SFC,https://trucksfloor.com/en/tata-truck/510-tt-sfc,3305 mm,189 mm,2048 / 2100 mm,2300 / 2835 mm,5405 mm
Tata 407 Gold SFC,https://trucksfloor.com/en/tata-truck/407-gold-sfc,2900 / 3300 mm,209 / 223 mm,1905 mm,2260 mm,4687 mm
Tata 407 GOLD RJ SFC,https://trucksfloor.com/en/tata-truck/407-gold-rj-sfc,3305 mm,210 mm,1905 / 2100 mm,2300 / 2850 mm,5405 mm
Tata 609G SFC,https://trucksfloor.com/en/tata-truck/609g-sfc,3305 mm,249 mm,1905 / 2100 mm,2380 / 2960 mm,5407 mm
Tata 407g Gold SFC,https://trucksfloor.com/en/tata-truck/407g-gold-sfc,3305 mm,210 mm,1905 / 2100 mm,2300 / 2850 mm,5415 mm
Tata Signa 1923.K,https://trucksfloor.com/en/tata-truck/signa-1923-k,3580 / 4200 mm,248 mm,2510 mm,3010 mm,6134 mm
